timestamp[s],tcp_force_x[N],tcp_force_y[N],tcp_force_z[N],tcp_force_rx[Nm?],tcp_force_ry[Nm?],tcp_force_rz[Nm?],tcp_pose_x[m],tcp_pose_y[m],tcp_pose_z[m],tcp_pose_rx[rot_vec_x],tcp_pose_ry[rot_vec_y],tcp_pose_rz[rot_vec_z],tcp_velo_x[m/s],tcp_velo_y[m/s],tcp_velo_z[m/s],tcp_velo_rx[rot_vec_x/s],tcp_velo_ry[rot_vec_y/s],tcp_velo_rz[rot_vec_z/s],q1[rad],q2[rad],q3[rad],q4[rad],q5[rad],q6[rad],qd1[rad/s],qd2[rad/s],qd3[rad/s],qd4[rad/s],qd5[rad/s],qd6[rad/s],tool_acc_x,tool_acc_y,tool_acc_z,current_of_whole_robot[A],voltage_of_whole_robot[V],current_J1[A],current_J2[A],current_J3[A],current_J4[A],current_J5[A],current_J6[A],temp_J1[C],temp_J2[C],temp_J3[C],temp_J4[C],temp_J5[C],temp_J6[C]
8.100178e-07,0.4048217,-0.760226,0.20587379,-0.01018532,0.036172923,-0.033906408,-0.37288687,-0.3282149,0.05995082,-3.07848,0.6248462,-0.00029569844,0.0027544242,0.0013548522,-0.004112453,0.003742503,-0.007985308,-1.1538878e-05,0.4481382,-1.470873,2.0095613,-2.1076558,-1.5706614,2.4230433,-0.000109645356,0.0038141583,0.0053163,-0.00031242895,9.7512704e-05,-0.000100783975,0.095768064,0.2681506,-8.963891,0.75755644,47.72092,-0.18077382,-2.9251227,-2.501619,-0.52501345,0.028168414,-0.10375959,26.125,27.0,26.0625,29.125,30.1875,30.5625
0.002052899,-0.13974135,-1.023894,-0.022264462,0.0031415771,0.022124106,-0.021657817,-0.37288046,-0.328214,0.059928168,-3.0784724,0.62492216,-0.00034184218,-0.0008866245,-0.00040666055,-0.0026346697,-0.001462247,0.0027820065,-6.3834987e-06,0.44812617,-1.4708492,2.009596,-2.1076958,-1.5706376,2.4230795,-0.00010800061,0.003800211,0.0044794567,-0.011420918,9.6026386e-05,-0.00010050719,0.095768064,0.21068975,-9.002198,0.75084364,47.71823,-0.24157368,-2.7876692,-2.3970652,-0.4700666,0.048217066,-0.10232645,26.125,27.0,26.0625,29.125,30.1875,30.5625
0.004052445,-0.2386712,-0.59337234,-0.05833416,0.0057799234,0.021841975,-0.025227616,-0.37287882,-0.3282089,0.059918307,-3.0784636,0.6248821,-0.00034537376,-0.0019678855,-0.00092993816,-0.0021975369,-0.0030629844,0.006096202,-5.6618096e-06,0.44812617,-1.4708372,2.0096085,-2.1077082,-1.5706495,2.4230556,-0.000106404426,0.00372252,0.0043568374,-0.0149011295,9.45846e-05,-9.854089e-05,0.095768064,0.19153613,-8.944737,0.74413085,47.694054,-0.16108921,-3.017054,-2.54292,-0.3469389,0.047360495,-0.11155479,26.125,27.0,26.0625,29.125,30.1875,30.5625
0.006052426,0.14220856,-0.22924857,-0.015873196,0.020649102,0.012871705,-0.01725278,-0.37286505,-0.32820225,0.059895307,-3.0784483,0.62487906,-0.00037724792,-0.0008676714,-0.00039801135,-0.002078919,-0.0014235129,0.0027125655,-7.4014147e-06,0.44812617,-1.4708256,2.0096562,-2.107742,-1.5706495,2.4230556,-0.000104855,0.0030610117,0.0036369662,-0.009759849,9.3185736e-05,-9.644429e-05,0.0,0.15322891,-8.887277,0.7486078,47.701214,-0.20525944,-2.9710813,-2.598054,-0.38321888,0.03912913,-0.1120494,26.125,27.0,26.0625,29.125,30.1875,30.5625
0.008052327,0.94759625,0.67909795,-0.30020112,0.04836804,-0.003687807,-0.025818983,-0.3728741,-0.3282259,0.05990828,-3.078508,0.6248719,-0.00035256715,-0.00021704962,-8.3526014e-05,-0.0015247915,-0.0003613452,0.00052426313,-8.637331e-06,0.4481382,-1.4708258,2.0096319,-2.1077645,-1.5706137,2.4230556,-0.000103349994,0.0021478503,0.0022989528,-0.0050762137,9.1827445e-05,-9.4421615e-05,0.038307227,0.05746084,-9.059659,0.7597976,47.684196,-0.15228768,-2.9162655,-2.4891489,-0.43018425,0.028599538,-0.11727169,26.125,27.0,26.0625,29.125,30.1875,30.5625
0.010052254,0.24883625,0.91484034,-0.8311346,0.06714463,-0.03541923,-0.01758832,-0.37287164,-0.32821184,0.059892036,-3.0784667,0.62482446,-0.00036266405,-0.00015708516,-5.486979e-05,-0.0011258096,-8.864071e-05,-3.4689507e-05,-9.1306065e-06,0.4481382,-1.470802,2.0096428,-2.107764,-1.5706495,2.4230313,-0.00010188746,0.0018356192,0.001281103,-0.0031242098,9.050817e-05,-9.248122e-05,0.05746084,0.11492168,-9.212888,0.80679786,47.661808,-0.5058526,-2.2823074,-3.1223323,-0.4428202,0.020200528,-0.1614413,26.125,27.0,26.0625,29.125,30.1875,30.5625
0.012052219,0.6760244,0.66418296,-0.88674176,0.036824644,-0.0002814039,-0.032478817,-0.3729034,-0.32821015,0.05990407,-3.0784469,0.62493616,-0.00032603883,-0.00046407225,-0.0001993049,-0.0039619585,0.0027555556,-0.0059568114,2.0230089e-05,0.44811413,-1.470775,2.0095828,-2.1077511,-1.5706614,2.4230795,-0.000115046336,0.010253569,-0.0017094475,-0.0019819126,8.922866e-05,-0.00013219679,0.05746084,0.1340753,-9.346964,0.7038487,47.694946,-0.66056556,-2.3534737,-3.2368093,-0.44490176,0.02118991,-0.18891822,26.125,27.0,26.0625,29.125,30.1875,30.5625
0.01405234,-0.6335154,-0.7558186,-1.0983884,0.012679773,0.010430029,-0.012156211,-0.37286738,-0.3281918,0.059863463,-3.078412,0.6248914,-0.0005078667,-0.0054732393,0.0006695215,-0.003525461,0.002532743,-0.0053979834,-0.002660849,0.44808814,-1.4707489,2.009639,-2.1077154,-1.5706257,2.42303,-0.0062739304,0.016705196,-0.010088064,-0.0006553355,3.1273277e-05,-0.0036042263,-0.038307227,0.13407528,-9.423578,0.7239871,47.67614,-0.4462492,-2.7637944,-2.9908907,-0.44509667,0.018520085,-0.20862147,26.125,27.0,26.0625,29.125,30.1875,30.5625
0.016052056,-0.7528093,-1.3762696,-1.1425657,-0.030776784,0.05877494,-0.028643005,-0.37287164,-0.32819775,0.0598619,-3.078397,0.6248663,-0.0004867549,-0.0055083698,0.0012310424,-0.003997,0.0031811486,-0.0067240633,0.0018549745,0.44811162,-1.4707247,2.0096161,-2.1077154,-1.5706495,2.4230397,-0.007355396,0.017409818,-0.009916812,-5.5983473e-05,2.049733e-05,-0.009201664,-0.38307226,0.24899697,-9.576807,0.7172743,47.666286,-0.34871203,-2.6297693,-3.1813345,-0.44805467,-0.0082847215,-0.14437994,26.125,27.0,26.0625,29.125,30.1875,30.5625
0.018052455,-1.3878005,-2.0677643,-1.204183,-0.06366818,0.1022163,-0.038977414,-0.37285483,-0.32819816,0.059842203,-3.0783668,0.6247832,-0.0005514701,-0.004801582,0.0015385962,-0.0045791063,0.004264828,-0.008954867,0.0031142833,0.44813576,-1.4706887,2.0096161,-2.1076906,-1.5706614,2.4230158,-0.0072869253,0.017954309,-0.009533441,0.0014959553,1.3688389e-05,-0.010393092,-0.3256114,0.3256114,-9.710882,0.779936,47.686886,-0.54162025,-2.4221222,-3.474041,-0.444125,0.0016103876,-0.14324497,26.125,27.0,26.0625,29.125,30.1875,30.5625
0.020052483,-1.7477218,-2.526377,-1.0766512,-0.060502864,0.11685957,-0.045682713,-0.37286854,-0.328192,0.059825167,-3.0783236,0.6248131,-0.00062704977,-0.0057602203,0.0012228466,-0.004022123,0.004667163,-0.009781044,0.0025092761,0.4481116,-1.470616,2.009567,-2.1076539,-1.5706614,2.4230158,-0.007562525,0.019904831,-0.013656073,0.0045870645,6.643272e-06,-0.010061797,-0.34476504,0.40222588,-9.80665,0.7597976,47.694054,-0.60256994,-2.4181778,-3.4635708,-0.48482415,-0.0047369637,-0.16361654,26.125,27.0,26.0625,29.125,30.1875,30.5625
0.022052383,-1.8551303,-2.0360787,-1.1445777,-0.047167696,0.10568505,-0.051667318,-0.37288883,-0.3282058,0.0598402,-3.078358,0.6248008,-0.00059337594,-0.007208212,0.0011959774,-0.0040888526,0.004319839,-0.009059363,0.0020519902,0.448111,-1.4706033,2.0095189,-2.1076543,-1.5706495,2.4230032,-0.008826697,0.022078445,-0.015668368,0.0036248553,4.3375823e-07,-0.010866831,-0.61291564,0.51714754,-9.80665,0.7620334,47.678825,-0.6256371,-2.4662104,-3.3861303,-0.48096704,-0.013610728,-0.15575139,26.125,27.0,26.0625,29.125,30.1875,30.5625
0.024052069,-1.9199477,-2.0107424,-1.4777917,-0.017936956,0.07976793,-0.05256403,-0.37289572,-0.3281835,0.05981051,-3.0783153,0.6247926,-0.0006833204,-0.008720497,0.0011815951,-0.0033173515,0.0031662723,-0.00667628,0.0015189819,0.44806278,-1.4705435,2.0095184,-2.107642,-1.5706495,2.4229553,-0.01017511,0.022135617,-0.017243119,0.002494719,2.8321312e-08,-0.011680948,-0.6512229,0.36391866,-9.825804,0.7486078,47.678825,-0.61971426,-2.3776717,-3.4805486,-0.45778263,0.009539146,-0.17618573,26.125,27.0,26.0625,29.125,30.1875,30.5625
0.026051998,-1.4567647,-1.7827843,-1.325312,-0.01179291,0.07217134,-0.0650439,-0.37291718,-0.32819366,0.059811953,-3.0783308,0.6247956,-0.0006510297,-0.009941419,0.0012389715,-0.0024824447,0.0020131702,-0.004288286,0.0013685209,0.44806236,-1.4705079,2.0094817,-2.1076667,-1.5706495,2.4229548,-0.011392929,0.021488525,-0.01821261,0.0014593276,1.8491791e-09,-0.0127475215,-0.63206923,0.36391866,-9.730036,0.7351769,47.692257,-0.72651464,-2.226945,-3.524813,-0.4407431,-0.044212747,-0.1637582,26.125,27.0,26.0625,29.125,30.1875,30.5625
