Timestamp,FX_Base,FY_Base,FZ_Base,MuX_Base,MuY_Base,MuZ_Base,TCP_X,TCP_Y,TCP_Z,TCP_RX,TCP_RY,TCP_RZ
0.0,1.5462672509834656,0.06474264648778799,-4.711140088525954,0.10115358606258087,0.4917630845083497,-0.04179695306080149,-0.4044211554487036,-0.08968969609550997,0.43876421043811137,1.5206286404458076,-1.0077866239081466,-0.8448720683480355
0.002,1.7535063725221116,-0.03184117570050615,-4.745995703255723,0.09740304780684095,0.49899160476475224,-0.05042229804089922,-0.404420875721449,-0.08966302683154807,0.43874976241532126,1.5206169655765407,-1.0078556720032497,-0.8448818025380211
0.004,1.3345336814563065,-0.040452335672252565,-4.428377204009035,0.10173753229351021,0.4905967792378139,-0.055120045716739126,-0.4044142831818289,-0.08969075364310783,0.43874194264812155,1.520691975898978,-1.0077875894409503,-0.8448098020244322
0.006,0.6952995685554961,0.5012408547438936,-4.695019437956212,0.08578001180719783,0.4818696758095776,-0.04150291468584229,-0.40441705750977286,-0.08966874709092928,0.4387527194445366,1.5205944055689569,-1.0078645838883022,-0.8448706748325633
0.008,0.6411958133883502,0.13589088436700608,-4.126494884446348,0.10583043483815585,0.4709962076971297,-0.04673589884187029,-0.40442573823628736,-0.08966896215432142,0.43875535991901443,1.5205772140926546,-1.007868677242936,-0.8448819687172288
0.01,1.193525796459578,-0.23228298428247224,-4.181524985101886,0.11467526349310622,0.4845276401143378,-0.03938175358969576,-0.40443183241168457,-0.08968400160561055,0.43873466000437583,1.520601926534628,-1.0078449141368717,-0.844871166698067
0.012,1.4374108988973489,-0.13012741504533723,-3.6982324727573097,0.12056586881887477,0.495060756365305,-0.03813936595325534,-0.4044249248538576,-0.08967114730782504,0.4387096666140168,1.5206673907840085,-1.0078449198385255,-0.8448819542928957
0.014,1.5124897668874824,0.037011355397245316,-3.3781746145999287,0.10076907171083413,0.5240899348363955,-0.04167490089581921,-0.4044140916436544,-0.08966804823358512,0.43871829100946985,1.5205993463905536,-1.007833932158396,-0.8448797421474972
0.016,1.501568392807114,0.58241249015675,-2.766693653213728,0.07096086522638378,0.5319818839950983,-0.043193530513201205,-0.40442214116396225,-0.08967334150876656,0.4387201140530195,1.5205724651632102,-1.0078097137257538,-0.8448960184802414
0.018000000000000002,1.59636233582957,0.6824626153508916,-2.1793920152160595,0.05555421127162913,0.5295269139025256,-0.0417150392851124,-0.4044240421505808,-0.089689789650347,0.4387107141589472,1.5205593653997798,-1.007748853966468,-0.8448563926596925
0.020000000000000004,1.7342180446352111,0.7030248011941189,-2.057216109984848,0.048299609180805975,0.5484048851646872,-0.0478972111147159,-0.4044180758337003,-0.08968026159115658,0.4386837432299086,1.520573786251501,-1.0077917836430599,-0.8448393646200729
0.022000000000000006,1.8991500306557436,0.33978205780622334,-1.5908494857243194,0.06350342955810515,0.5600816604142276,-0.0503150834964867,-0.4044209875868279,-0.08967519933599992,0.4386662069562892,1.52059468472048,-1.0077776535497383,-0.8448911271704133
0.024000000000000007,2.0509757280041714,0.0773335883173012,-1.6465007087065828,0.08096008505488542,0.5716347766793257,-0.04986728859357192,-0.40442165435295785,-0.08967557448594454,0.4386649225135002,1.5205352029251342,-1.0077729626329903,-0.8448846686816838
0.02600000000000001,1.763300209531581,0.25349267871802805,-1.5008043164691265,0.08112239045293027,0.5534805612081272,-0.04177075210071343,-0.4044251382066088,-0.08965982674971634,0.4386268504802803,1.5205630442823423,-1.0078335671411767,-0.8449084251835479
0.02800000000000001,1.405007345364676,0.47167043876707654,-1.8397507093821033,0.07045789822696813,0.545700634195119,-0.040131866132340654,-0.40441268511730677,-0.08967092085359468,0.43859492113079074,1.5206215412233282,-1.0078164153380553,-0.8448436644900175
0.030000000000000013,1.3249321141602688,0.5724748371113075,-2.2206846820676907,0.05895432575499904,0.5315676198032621,-0.04994114463770619,-0.40441223520096703,-0.08966362419730126,0.4385981321983444,1.5205724275568446,-1.0077923464815512,-0.8448917843684683
0.032000000000000015,1.2591394135477443,1.0453833025752997,-2.532712287644083,0.05372736016127355,0.5308426911433273,-0.04825699613502023,-0.4044236983603659,-0.0896628228248176,0.43855120912945217,1.520621085990012,-1.0078605824696765,-0.8448950535147569
0.034000000000000016,1.6475633619905334,0.38585152246909027,-2.560850171687975,0.06920687839645392,0.5301115814235281,-0.05949503785096133,-0.40441701239853944,-0.08967492704336405,0.43852635721048483,1.5206572792927706,-1.0078416523420035,-0.8448641857267972
0.03600000000000002,1.5040755895237372,0.6588881437200276,-3.0334539973505743,0.07527403012900902,0.5236385813338895,-0.04207892966786814,-0.4044184693007535,-0.08967861085111223,0.43849162626125143,1.5206720229480086,-1.0078524185985973,-0.8448210166310199
0.03800000000000002,1.4893752823399002,0.42188148565282146,-3.441938153020371,0.08340331142307825,0.5273570674871256,-0.0357302730990523,-0.4044232311031002,-0.08969298759545817,0.4384645299292235,1.5207043987375355,-1.0078435239848509,-0.8447979268724258
0.04000000000000002,1.5777248049829717,0.26868461580293906,-3.507543342965739,0.08757493111460682,0.5205429967433955,-0.038211211372496987,-0.40442106615471707,-0.08968571184620094,0.4384235433059331,1.5207570849297665,-1.0078466957869467,-0.8448227357786205
0.04200000000000002,1.3530625577707873,0.23799421030911533,-3.7760879927350226,0.09269157316310123,0.5154883359140632,-0.03967289173441694,-0.404425047099347,-0.08968135476201264,0.43839611631146197,1.5207699792011695,-1.007875761413829,-0.8448356014049301
0.044000000000000025,1.5012804686392882,0.1453369496547129,-4.312744739225788,0.09211714360737519,0.501816479115876,-0.056180314202461994,-0.4044240312725094,-0.08968481309472376,0.43836452235695467,1.5207888001690557,-1.0078779056319933,-0.844782521562017
0.04600000000000003,1.2912782377368939,0.45626748419744734,-4.643327117489522,0.0836366821625816,0.4831687018327962,-0.04983625330337232,-0.40442627800011843,-0.08967788318804723,0.4383033406989218,1.5208724645922127,-1.0079395649655873,-0.8447975314410033
0.04800000000000003,1.5045088552774226,-0.05086649426350451,-4.730432187062448,0.10552208582163145,0.4781867230154308,-0.05523496381701882,-0.4044176865867662,-0.08966783659097839,0.4382740187993256,1.5208287215361493,-1.0079501825414743,-0.8448347004532574
0.05000000000000003,1.4027774290577708,0.046526306727619954,-5.060965105972163,0.10675166059526894,0.48008439722976703,-0.043612882684645526,-0.4044181567288474,-0.08967640014425422,0.4382542209733489,1.5208298349960327,-1.0079185768639511,-0.8448081009719772
0.05200000000000003,1.5957068446409512,-0.2966588449865535,-5.119465288705423,0.11009283971399392,0.4867940195552522,-0.050185971552992106,-0.40441602818160166,-0.08966935099652162,0.43819067895068425,1.5208945185779061,-1.0079739063778954,-0.8447889857501524
0.054000000000000034,1.4439608805354487,-0.14737521302132026,-5.17752709394505,0.10993999741206881,0.4896194893124455,-0.04642522860395141,-0.40441562303394996,-0.0896828222087566,0.43814040891704265,1.520966616819456,-1.0079293205228328,-0.8447681328581524
0.056000000000000036,1.2631383881825191,-0.03864424720425298,-5.060627855727446,0.11335103753990874,0.48686190984757044,-0.04140838037616944,-0.4044135476885827,-0.08967165898796817,0.4381151718189541,1.5208989173060143,-1.0079588274202755,-0.8447479743526608
0.05800000000000004,1.241018957999548,-0.0145433056835724,-4.790854977744323,0.10447447835657109,0.48413781500205927,-0.044866459234744416,-0.40441945968641085,-0.0896879041249931,0.43807192021361563,1.5209111498415182,-1.0079244520618766,-0.8447801556478635
0.06000000000000004,1.2474913135397754,-0.08481444755909678,-4.7287362481728605,0.10702881558566307,0.4858715500121946,-0.04161885965778641,-0.40441446889125326,-0.08965943030723753,0.4380424207123278,1.5208864459493834,-1.0079658280661508,-0.8447933280689283
0.06200000000000004,1.3829114738498924,-0.6483949256801498,-4.803369597280029,0.11580158729482024,0.48962845401539146,-0.048259481508197054,-0.40440602957551197,-0.08967024939298518,0.43798223986757884,1.5209284099940197,-1.0079387390151293,-0.8447702979841013
0.06400000000000004,1.1559846521917607,-0.6410092289158543,-4.785710465028263,0.1182212599895997,0.4794202958140986,-0.0473594964253292,-0.4043956756100302,-0.08964487819758986,0.4378678876992301,1.5208106340060454,-1.0079440217921432,-0.8448156777844706
0.06600000000000004,1.0146155024125683,-0.4361212497431204,-4.79924022508318,0.1243029689854642,0.4856876529873495,-0.04596357898284878,-0.4043970984738629,-0.08964688596020577,0.4378110398816064,1.5208126263093271,-1.0079011451747082,-0.8448350402364673
0.06800000000000005,1.08865177969704,-0.4083855208887703,-4.722613996675991,0.11065712928154248,0.48236079256607145,-0.042675084627287835,-0.40439334816247124,-0.08964001670383304,0.4377508071900443,1.5208145396625499,-1.0079458309030196,-0.8448505827422894
0.07000000000000005,1.0640315619448864,-0.029787706051291468,-4.268478007819986,0.10834204868702163,0.4790501157094559,-0.035050163263562195,-0.40437924108320555,-0.08964980473316816,0.4377366318387703,1.5206741493392775,-1.0078463629524665,-0.8448220977399523
0.07200000000000005,1.2277004453432034,0.032762233132888646,-4.185102465841843,0.0920880378616894,0.4886270404671017,-0.0396855706940795,-0.40438493067138953,-0.08963385609927313,0.4376729496850314,1.5206451822033367,-1.0079029276965559,-0.8448576228288491
