Timestamp,FX_Base,FY_Base,FZ_Base,MuX_Base,MuY_Base,MuZ_Base,TCP_X,TCP_Y,TCP_Z,TCP_RX,TCP_RY,TCP_RZ
0.0,3.088899303899826,-0.8934246926533097,-3.4883897277133773,0.5603282220462893,0.587652600101608,-0.10682516057826322,-0.40211955256565624,-0.08863134189222951,0.42643518690801857,1.4761447596038308,-0.9787931174119608,-0.8644082441981469
0.002,2.6845213343015137,-0.5287646570999391,-3.5389119107184106,0.5536468959607419,0.5857489948389958,-0.10302425603528172,-0.4021187084350077,-0.08863920724081073,0.42645823159557483,1.4760862875071852,-0.978784954570703,-0.864403493801839
0.004,2.4873242168529317,-0.3376803092088425,-3.7095049777993205,0.5460671711318755,0.5831595392447514,-0.10069047329099404,-0.40212277452351974,-0.08863480951489842,0.42646210519363525,1.4761062682136352,-0.9787716711152602,-0.8644569019255648
0.006,2.6079311896412496,-0.4662546615944154,-3.412822042610451,0.5359593832068125,0.5733153791950402,-0.10296585771626193,-0.40212719769159966,-0.0886281504152414,0.42641692390983,1.4761918445067044,-0.9788481229452098,-0.8644229967649927
0.008,2.358782097786736,-0.9234849622293578,-2.8333495083065268,0.5496283139096623,0.5723996145865167,-0.11095687457525705,-0.40212430366544955,-0.08863440208902114,0.42644258839325955,1.4761231124592835,-0.9788128889911314,-0.864441381290753
0.01,2.643117447936543,-1.2434578170135326,-2.6515530745143816,0.5612693914366982,0.5751021411407599,-0.11113663857454456,-0.4021238115630122,-0.08862588180861788,0.4264383112673963,1.4761150556319516,-0.9788346186971244,-0.8644198182763965
0.012,2.611921316547509,-0.9052089595223441,-2.793282999708666,0.5722118708531438,0.5854912483300964,-0.09727361978785168,-0.40212438391027594,-0.08862760175369128,0.426435374617547,1.4760922797118792,-0.9788024656706099,-0.8644259213502736
0.014,2.723961646501011,-0.7954187476760866,-2.9859129291589364,0.5662744696028326,0.5986775092852541,-0.09496695944596445,-0.4021143688097112,-0.08862228238911038,0.4264039013711422,1.4761211821109341,-0.9788398381439314,-0.8643794282021671
0.016,2.769358555145613,-0.8443887503532259,-2.0165814431635662,0.5495358245396031,0.5947312539809675,-0.09825116785999202,-0.40211682332073007,-0.08863918480979249,0.4263934966319242,1.4761455247339144,-0.9788036117481629,-0.8643799871118792
0.018000000000000002,2.7363455005205557,-0.09269058846167488,-1.8412874561574073,0.5214426225966213,0.6067891331736335,-0.09742936753987079,-0.40211436959774277,-0.08862765998843203,0.42639185252549444,1.4761159006068418,-0.9787695243953558,-0.8644236605652964
0.020000000000000004,2.9400632208447437,-0.19990029493869432,-1.0948417722768775,0.5197576189977581,0.6092086734264814,-0.09978532148643318,-0.40211238890138257,-0.08863462390895084,0.42639031217267104,1.476061179114424,-0.9787450402381961,-0.8643790440817958
0.022000000000000006,3.3024567446157067,-0.4567450087334104,-0.869446922914248,0.5270618091614867,0.6316653009215943,-0.10762481559325504,-0.40210581055996475,-0.08862870600701053,0.4263626598242667,1.4761006354651816,-0.978740891256449,-0.864409740442127
0.024000000000000007,2.963846644987974,-0.35038224210010116,-0.8373781578994093,0.5298005884657043,0.640193909521708,-0.10334436234955661,-0.4021066804003348,-0.08862511670063994,0.42635189452489425,1.476036871510077,-0.9787237360016307,-0.8644115533710799
0.02600000000000001,3.041360786027189,-0.21046419697563024,-0.578025040042366,0.5351385057904698,0.6351448464628462,-0.09476130035908607,-0.4021097868828409,-0.08862711628564753,0.4263299350424625,1.4760552740319899,-0.9787216221925692,-0.8644171326141682
0.02800000000000001,3.105850111897265,-0.5096904417895398,-0.721205972301525,0.5396867473881716,0.62547455154483,-0.10053827847402541,-0.402115926609669,-0.08861169336416352,0.42631971317265677,1.476016375160621,-0.9788016510056793,-0.8644845436552405
0.030000000000000013,3.041541319801534,-0.2848336937387279,-1.2515706877840285,0.5285976487080818,0.6244867176137714,-0.10562075645524904,-0.4021008875552198,-0.08863486930789499,0.42629254738080047,1.4760425125513346,-0.9787132947238208,-0.8644040269367406
0.032000000000000015,3.00675760367565,-0.4642651817758986,-1.3881686703203973,0.5322579688521748,0.6128026344915849,-0.12180624136445267,-0.40210085152312175,-0.0886235392157951,0.42628749360836465,1.4759880274254475,-0.9787121396067737,-0.8644313377709295
0.034000000000000016,3.0702759481412603,-0.5126705984411459,-2.3272428704242563,0.525265150442704,0.6111852865826983,-0.11515732898941443,-0.4021034565171988,-0.0886266819966644,0.4262584354745678,1.475992045686125,-0.9787338141234849,-0.8644487010618291
0.03600000000000002,3.0482255792647512,-0.6705279629565478,-2.536422652803698,0.5350621799250184,0.5927667958205114,-0.11211032904249431,-0.40210502303481943,-0.08861101829855031,0.42618048508965184,1.4761070416614455,-0.9788064096359548,-0.8644061558678874
0.03800000000000002,3.0059207319342853,-0.5616805173782186,-2.4964872421329796,0.5374664567708725,0.5896375978026965,-0.10477568683136643,-0.40209985416978883,-0.08863091418465666,0.42617291576451477,1.4760385831641358,-0.9787467780174448,-0.8644095015570332
