num_insertion, tcp_force_x[N]        , tcp_force_y[N]        , tcp_force_z[N]         , tcp_force_rx[Nm?]      , tcp_force_ry[Nm?]     , tcp_force_rz[Nm?]    , tcp_pose_x[m]      , tcp_pose_y[m]       , tcp_pose_z[m]      , tcp_pose_rx[rot_vec_x], tcp_pose_ry[rot_vec_y], tcp_pose_rz[rot_vec_z] , tcp_velo_x[m/s]        , tcp_velo_y[m/s]        , tcp_velo_z[m/s]        , tcp_velo_rx[rot_vec_x/s], tcp_velo_ry[rot_vec_y/s], tcp_velo_rz[rot_vec_z/s], q1[rad]            , q2[rad]            , q3[rad]           , q4[rad]            , q5[rad]            , q6[rad]           , qd1[rad/s]             , qd2[rad/s]             , qd3[rad/s]             , qd4[rad/s]             , qd5[rad/s]             , qd6[rad/s]             , tool_acc_x           , tool_acc_y           , tool_acc_z         , current_of_whole_robot[A], voltage_of_whole_robot[V], current_J1[A]       , current_J2[A]      , current_J3[A]      , current_J4[A]         , current_J5[A]          , current_J6[A]       , temp_J1[C], temp_J2[C], temp_J3[C], temp_J4[C], temp_J5[C], temp_J6[C]
          1.0, 1.0156936329249617    , 0.9039886867628579    , 0.903442974926876      , 0.038331684370020845   , -0.06789257237041843  , -0.06428885861527817 , -0.5389334891542654, -0.32464844217528194, 0.26004405901695005, -3.0786914324745336   , 0.6249037715359382    , 0.0001886171817207149  , 0.0025511377273898642  , -0.00110227979440637   , -0.0004514962420787894 , -0.0004121691295351039  , 0.0014919420862927017   , 0.0030484563693945177   , 0.32675376534461975, -1.1516148310950776, 1.6618641058551233, -2.0796128712096156, -1.571369473134176 , 2.301809310913086 , 0.0030498707201331854  , -0.0030239587649703026 , 0.006319902371615171   , -0.004840916488319635  , -8.594554674346e-05    , -2.523835576084821e-07 , 0.5363011956214905   , -0.325611412525177   , -9.117119789123535 ,        0.7418897151947021,        47.7218132019043  , -0.1723887324333191 , -4.163616180419922 , -2.7151832580566406, -0.35647907853126526  , 0.017405182123184204   , -0.24018613994121552,       25.5,    26.375 ,       25.5,    28.5   ,      29.75,    30.3125
          1.0, 1.4604139467097914    , 1.6292219546458626    , 0.5250737910986508     , 0.059506564580662544   , -0.08018460952416585  , -0.06608545321005158 , -0.538908218950586 , -0.3246565264114722 , 0.26005501424464517, -3.078697931357696    , 0.6248669815421017    , 0.00014933037056017216 , 0.0013636258773147185  , -0.0012120674053162825 , 0.0015769056804070712  , -0.001613926103240326   , 0.005011665524817006    , 0.00259323802569076     , 0.32677754759788513, -1.1516628724387665, 1.6618979612933558, -2.079576631585592 , -1.571357552205221 , 2.301809310913086 , 0.0025950137060135603  , -0.0034331236965954304 , 0.002091789385303855   , -0.003922868985682726  , -8.493172936141491e-05 , -1.6478843178902025e-08, 0.4213795065879822   , -0.17238251864910126 , -9.097966194152832 ,        0.6993717551231384,        47.6976318359375  , -0.2226274609565735 , -4.1775360107421875, -2.4724018573760986, -0.34844648838043213  , 0.034281063824892044   , -0.2432531714439392 ,       25.5,    26.375 ,       25.5,    28.5   ,      29.75,    30.3125
          1.0, 0.8069186455746391    , 1.2228353145917183    , 0.2306934052566542     , 0.05704066432249464    , -0.0871535376948902   , -0.05873443193367911 , -0.5389203166844329, -0.3246358190810175 , 0.2600442451144793 , -3.0786797078744192   , 0.6249015728698805    , 0.00015683853519528305 , 0.0008222634925411938  , -0.0008572453212044263 , 0.0012497031667145146  , -0.001152860941004366   , 0.003651735548885692    , 0.0017633589096081486   , 0.3267412483692169 , -1.1516504746726532, 1.661910359059469 , -2.079599996606344 , -1.571369473134176 , 2.3017969131469727, 0.001764504355378449   , -0.0023348142858594656 , 0.0009769013850018382  , -0.002470332197844982  , -8.394150790991262e-05 , -1.0759506618995829e-09, 0.15322890877723694  , -0.019153613597154617, -9.136273384094238 ,        0.7418897151947021,        47.703006744384766, -0.15191921591758728, -4.159934043884277 , -2.3656604290008545, -0.3753509819507599   , 0.018484150990843773   , -0.25724631547927856,       25.5,    26.375 ,       25.5,    28.5   ,      29.75,    30.3125
          1.0, -1.7120336369424765   , -1.3674811135051517   , 0.24680427031669994    , -0.061226539076059586  , 0.0316680146742802    , -0.0561090730108545  , -0.5389093351283888, -0.3246357089148833 , 0.2600400724524705 , -3.078683516815853    , 0.6248835655053335    , 4.6081854335666815e-05 , 0.0005696893906817184  , -0.0005992393926915064 , -0.00019805426514746027, 2.2845351791494284e-05  , 0.00018765806312730983  , 0.001234629311175759    , 0.3267410695552826 , -1.1516617399505158, 1.661921803151266 , -2.0795394382872523, -1.5713337103473108, 2.3017849922180176, 0.001234796829521656   , -0.000160293304361403  , 0.0008694868301972747  , -0.0008792839362286031 , -8.202899334719405e-05 , -4.5869462741987554e-12, -0.2298433631658554  , 0.2298433631658554   , -9.404424667358398 ,        0.7306999564170837,        47.70121383666992 , -0.1521330624818802 , -3.881439208984375 , -2.1189475059509277, -0.4533002972602844   , 0.032270438969135284   , -0.25821053981781006,       25.5,    26.375 ,       25.5,    28.5   ,      29.75,    30.3125
          1.0, -2.6536339543551914   , -2.3172790631105267   , 0.5120134340515243     , -0.10457840335319336   , 0.09838548292368453   , -0.05863112066888987 , -0.538907022645575 , -0.3246507182021381 , 0.2600525980801276 , -3.0786386249566773   , 0.624816668329147     , 0.00011622389486081859 , 0.002763391834164605   , 0.00021523754984127495 , -0.00386243198409257   , 0.0028290144411979557   , -0.008034670330263833   , 0.001017864052646975    , 0.32677701115608215, -1.1516617101481934, 1.6618879477130335, -2.079515119592184 , -1.5714057127581995, 2.3017849922180176, 0.0011333321454003453  , -2.150539330614265e-06 , 0.008808214217424393   , -0.00028813298558816314, -8.110490307444707e-05 , 0.00011637122952379286 , -0.4405331015586853  , 0.24899697303771973  , -9.366117477416992 ,        0.7284641265869141,        47.674346923828125, -0.21154281497001648, -3.836991310119629 , -2.4842867851257324, -0.4859936833381653   , 0.026568204164505005   , -0.27199041843414307,       25.5,    26.375 ,       25.5,    28.5   ,      29.75,    30.3125
          1.0, -2.789989197066851    , -2.002003060954482    , 0.5362998910735698     , -0.09074551515879667   , 0.10350282568305148   , -0.060138975428400174, -0.538885958499449 , -0.3246525556272385 , 0.26002562504742766, -3.078626341618592    , 0.6247760218397905    , 2.361530007616495e-05  , 0.00241503678059991    , 0.00016255023900706159 , -0.003370584275673913  , 0.002404734428198943    , -0.006794801884103949   , 0.0012832331677297944   , 0.32678890228271484, -1.1516617101481934, 1.6619489828692835, -2.079515119592184 , -1.5713933149920862, 2.3017730712890625, 0.0010313806124031544  , -2.8852227274001052e-08, 0.007749954238533974   , -0.0005425187409855425 , -8.020147652132437e-05 , -0.00025115604512393475, -0.4213795065879822  , 0.2106897532939911   , -9.327810287475586 ,        0.7530794739723206,        47.64299774169922 , -0.15545594692230225, -3.7823872566223145, -2.4975509643554688, -0.5308067798614502   , 0.0258028544485569     , -0.27048227190971375,       25.5,    26.375 ,       25.5,    28.5   ,      29.75,    30.3125
          1.0, -1.6701819448251296   , -0.5227534032925727   , 0.6179657979982044     , -0.026856579635571757  , 0.057156566145436086  , -0.06255169839085203 , -0.5389051509766251, -0.3246484813396438 , 0.2600431780006709 , -3.0787062402541694   , 0.6248118472808608    , 0.00010464977397019408 , 0.0013685548100219177  , -2.4917322473492745e-05, -0.0020348369952817194 , 0.00038348547874665395  , -0.0010009994382036806  , 0.0010609830128247848   , 0.326764851808548  , -1.1516617101481934, 1.6619232336627405, -2.0795771084227503, -1.571345631276266 , 2.3017611503601074, 0.0007637485396116972  , -3.870894715873874e-10 , 0.005633809603750706   , -0.004562576301395893  , -4.020491542178206e-05 , -0.0002984414459206164 , -0.38307225704193115 , 0.15322890877723694  , -9.289502143859863 ,        0.6926589012145996,        47.6976318359375  , -0.17387913167476654, -3.6694116592407227, -2.3101625442504883, -0.5619560480117798   , 0.02551744133234024    , -0.27073341608047485,       25.5,    26.375 ,       25.5,    28.5   ,      29.75,    30.3125
          1.0, -1.0155754872612295   , 1.139475515582223     , 0.5187299794586439     , 0.02595672145186493    , -0.017204908493316327 , -0.06070349132113257 , -0.5388952341833791, -0.32466725282894027, 0.2600257972928372 , -3.07868765349806     , 0.6248274953298207    , 0.00010099842020831965 , 0.0005004045262865455  , -0.00038751259480739546, -0.0009011661107094643 , -0.002003496516554577   , 0.005870235171296211    , 0.0011723010785432515   , 0.3268008828163147 , -1.1516377490809937, 1.6619351545916956, -2.0796033344664515, -1.571357552205221 , 2.301809310913086 , 0.0008598938584327698  , -5.193299783268213e-12 , 0.004439955577254295   , -0.01064271479845047   , -2.62509365711594e-06  , -0.00031624449184164405, -0.325611412525177   , 0.15322890877723694  , -9.21288776397705  ,        0.7754590511322021,        47.66449737548828 , -0.14110517501831055, -3.6472504138946533, -2.1595218181610107, -0.5005327463150024   , 0.009622505865991116   , -0.27273300290107727,       25.5,    26.375 ,       25.5,    28.5   ,      29.75,    30.3125
          1.0, 0.32037062212271894   , 1.3897012592881037    , 0.6392435076346137     , 0.04242659609964318    , -0.028909028914121112 , -0.06430955976581648 , -0.5389008359659323, -0.3246446788647833 , 0.26001365474939175, -3.078678277551177    , 0.6248244358674963    , 0.00011175642960507044 , 0.0007117711528100041  , -0.0006596945512590969 , -0.0011361230184016883 , -0.0026728555853382974  , 0.00782216591456688     , 0.0017526792185885258   , 0.32676512002944946, -1.1516377490809937, 1.6619709173785608, -2.079640050927633 , -1.571369473134176 , 2.3017728328704834, 0.0013895017327740788  , -6.967474150800304e-14 , 0.0057276776060462     , -0.013993961736559868  , -1.713998614150114e-07 , -0.00036823927075602114, -0.19153612852096558 , 0.0                  , -9.078812599182129 ,        0.7642692923545837,        47.70658874511719 , -0.24114103615283966, -3.5475025177001953, -2.16463565826416  , -0.47404399514198303  , 0.015571128576993942   , -0.28582608699798584,       25.5,    26.375 ,       25.5,    28.5   ,      29.75,    30.3125
          1.0, 0.02372233261083795   , 0.5475967382596252    , 0.5033556708700517     , 0.03274897065537253    , -0.038097204256206024 , -0.058460741581208314, -0.5389058437519135, -0.3246411051572446 , 0.26001704327423586, -3.07868634226841     , 0.6248835370439507    , 9.037902265157717e-05  , 0.000739156167102217   , -0.000619820275106519  , -0.0019252435077168565 , -0.00227980892520013    , 0.006664147323507148    , 0.0017451590236060772   , 0.3267531394958496 , -1.151637391453125 , 1.6619599501239222, -2.07962765316152  , -1.571345631276266 , 2.3017966747283936, 0.0013426359510049224  , 0.0009274363401345909  , 0.006281689740717411   , -0.014252503402531147  , -1.1191184867698212e-08, -0.00040748537867330015, -0.13407529890537262 , -0.07661445438861847 , -9.078812599182129 ,        0.7732232213020325,        47.7585334777832  , -0.21207831799983978, -3.5593554973602295, -2.1835789680480957, -0.4910721480846405   , 0.025041595101356506   , -0.2839773893356323 ,       25.5,    26.375 ,       25.5,    28.5   ,      29.75,    30.3125
