timestamp[s],tcp_force_x[N],tcp_force_y[N],tcp_force_z[N],tcp_force_rx[Nm?],tcp_force_ry[Nm?],tcp_force_rz[Nm?],tcp_pose_x[m],tcp_pose_y[m],tcp_pose_z[m],tcp_pose_rx[rot_vec_x],tcp_pose_ry[rot_vec_y],tcp_pose_rz[rot_vec_z],tcp_velo_x[m/s],tcp_velo_y[m/s],tcp_velo_z[m/s],tcp_velo_rx[rot_vec_x/s],tcp_velo_ry[rot_vec_y/s],tcp_velo_rz[rot_vec_z/s],q1[rad],q2[rad],q3[rad],q4[rad],q5[rad],q6[rad],qd1[rad/s],qd2[rad/s],qd3[rad/s],qd4[rad/s],qd5[rad/s],qd6[rad/s],tool_acc_x,tool_acc_y,tool_acc_z,current_of_whole_robot[A],voltage_of_whole_robot[V],current_J1[A],current_J2[A],current_J3[A],current_J4[A],current_J5[A],current_J6[A],temp_J1[C],temp_J2[C],temp_J3[C],temp_J4[C],temp_J5[C],temp_J6[C]
8.2998304e-07,-0.17335965,-0.25824535,0.9442706,-0.0083131455,0.003687736,-0.010282298,-0.38104093,-0.34851602,0.059950918,-3.0785093,0.6248757,-0.00022826988,5.579556e-05,-1.2811404e-05,-0.00077679567,0.00043368147,-0.0011994735,0.00010255858,0.47778618,-1.4259454,1.9577731,-2.1008456,-1.5707458,2.4527402,-3.420834e-05,0.0016313109,-4.961314e-07,-0.00036687462,0.00016553298,-0.00013672742,0.0,0.15322891,-8.887277,0.7777002,47.74062,0.031904925,-2.838969,-2.3838058,-0.44296905,0.075698316,0.03776288,28.625,29.75,29.0,33.0,35.375,36.5
0.002052575,-0.070915766,0.2818583,0.8629587,-0.010766186,0.003758804,-0.013640833,-0.38104853,-0.34853122,0.059955895,-3.0785303,0.62489915,-0.00021010298,-0.001013733,-0.0005689358,-0.002315402,-0.0016539854,0.0028076929,0.00010120789,0.4777981,-1.4259326,1.9577507,-2.1008608,-1.5707334,2.452764,-3.357032e-05,0.0036231126,0.003530646,-0.0104081845,0.00016129464,-0.00013417928,0.05746084,0.17238252,-8.868123,0.7463667,47.713753,0.037180834,-2.8536274,-2.4353235,-0.38663214,0.068852976,0.056298282,28.625,29.75,29.0,33.0,35.375,36.5
0.004052381,0.23564978,0.31392995,0.8490799,-0.009142241,0.009581987,-0.0149038015,-0.38105354,-0.3485095,0.059952736,-3.0784905,0.62491,-0.00016161537,-0.0018401629,-0.0009981575,-0.0019168046,-0.0029909438,0.0053848545,9.993863e-05,0.47778618,-1.4259447,1.9577745,-2.1008732,-1.5707816,2.452764,-3.29557e-05,0.0034590736,0.0034006208,-0.013017428,0.00015726803,-0.00013172436,0.038307227,0.19153613,-8.772355,0.7351769,47.728977,0.07635401,-3.1370568,-2.703615,-0.3130972,0.08064619,0.040531434,28.625,29.75,29.0,33.0,35.375,36.5
0.006052309,-0.09176873,0.5056954,0.7367275,-0.00072320004,-0.013146171,-0.006872826,-0.38101602,-0.3485321,0.059926298,-3.078524,0.6248213,-0.00028188122,-0.0010034438,-0.00056109804,-0.0013545549,-0.0016789412,0.0028793907,9.753208e-05,0.47782207,-1.4259212,1.9578103,-2.1008828,-1.5707215,2.4527402,-3.2363212e-05,0.002314198,0.0022557266,-0.007899464,0.00015343775,-0.00012935772,0.11492168,0.17238252,-8.772355,0.7486078,47.696735,0.10082916,-3.0297127,-2.597226,-0.3079818,0.07658946,0.03295563,28.625,29.75,29.0,33.0,35.375,36.5
0.008052181,0.3100377,0.70159507,0.17497,0.035430808,-0.032213677,-0.0014902307,-0.38105,-0.34854546,0.059952233,-3.0785444,0.62486356,-0.00019715795,-0.0008701254,-0.0004900976,0.0001346369,-0.0015985223,0.0027442707,9.560833e-05,0.47782207,-1.4259099,1.9577378,-2.1008813,-1.5707334,2.452764,-3.1791616e-05,0.0001563203,0.00035181447,-0.0036806888,0.00014978935,-0.00012707457,-0.095768064,0.24899697,-9.002198,0.7217513,47.684196,0.070107974,-2.9163504,-2.5318842,-0.36008078,0.060253818,0.032877885,28.625,29.75,29.0,33.0,35.375,36.5
0.010052602,0.6609041,1.2401959,-0.25547838,0.023773985,-0.021830413,-0.011722241,-0.38101953,-0.348512,0.059906077,-3.078438,0.62482274,-0.000295195,-0.00048152922,-0.00028094143,0.00016689295,-0.0009153991,0.0014408994,8.358706e-05,0.47782207,-1.4258741,1.9577969,-2.100857,-1.5707816,2.452752,-4.152031e-05,2.0972363e-06,4.72004e-06,-0.0017078365,0.00014631022,-0.0001250387,0.019153614,0.15322891,-9.212888,0.6948948,47.677036,-0.38680738,-2.4541788,-2.910452,-0.4047519,0.06845875,-0.044384733,28.625,29.75,29.0,33.0,35.375,36.5
0.01205183,-0.25003096,0.13124259,-0.37624416,-0.0009954763,-0.018339086,-0.006480513,-0.3810414,-0.34852076,0.059929106,-3.0785,0.6248915,-0.0002712114,2.1913605e-05,6.5770706e-05,-0.0019554554,0.0012774958,-0.0027855013,0.0025744282,0.47778612,-1.425897,1.9577731,-2.100869,-1.5707334,2.4527512,-0.0001922289,0.0041358443,6.332536e-08,-0.0010758229,0.00014298956,-0.002766041,0.1340753,0.095768064,-9.32781,0.7642693,47.717335,-0.6559197,-2.4376752,-3.0665913,-0.43439344,0.08460455,-0.12504402,28.625,29.75,29.0,33.0,35.375,36.5
0.014052228,-0.22541924,-0.41320613,-0.42245212,-0.04391806,0.015122086,-0.01756477,-0.38104048,-0.3485048,0.05989478,-3.078423,0.62485623,-0.00034092533,-0.003368049,0.004573846,-0.006081365,0.005294466,-0.010569329,0.0016386785,0.4777821,-1.4258215,1.9577602,-2.100845,-1.5707697,2.452735,-0.011354933,0.013321545,-0.0012196224,-0.0002844841,0.00014963603,-0.012991102,0.019153614,0.1340753,-9.442732,0.73069996,47.698532,-0.31567526,-3.069604,-3.243999,-0.4242367,0.0940897,-0.07869026,28.625,29.75,29.0,33.0,35.375,36.5
0.016052213,-1.0653769,-0.84673625,-0.3832233,-0.05698977,0.023910196,-0.029374953,-0.38105685,-0.3484884,0.05990171,-3.078427,0.62483394,-0.00031195185,-0.0060303975,0.004230515,-0.0033967867,0.002567123,-0.0053120977,0.008357495,0.4777455,-1.4258342,1.9577588,-2.100845,-1.5707816,2.452684,-0.013203847,0.0113931745,-0.0051401407,-0.0003598579,0.00014215057,-0.021557128,-0.17238252,0.15322891,-9.5385,0.7463667,47.688675,-0.16994503,-2.951986,-3.0753138,-0.44666755,0.10596469,-0.012289939,28.625,29.75,29.0,33.0,35.375,36.5
0.01805217,-1.2781345,-1.033576,-0.66278017,-0.046079453,0.047150742,-0.050169565,-0.3810376,-0.34847385,0.059858873,-3.0783942,0.624749,-0.000468541,-0.0061086086,0.003986377,-0.0025355618,0.0017091089,-0.0037491927,0.013289906,0.47772163,-1.4257749,1.9577836,-2.1008208,-1.5707573,2.4526112,-0.012866607,0.00974331,-0.0052148458,-0.00041803424,0.0001804307,-0.026152605,-0.34476507,0.19153613,-9.576807,0.7933669,47.703903,-0.5083859,-2.6617732,-3.2055655,-0.46151632,0.123638295,-0.0023724006,28.625,29.75,29.0,33.0,35.375,36.5
0.02005245,-1.1839653,-0.16929825,-0.6012431,-0.026611269,0.062798224,-0.08540117,-0.38105989,-0.34848058,0.059865903,-3.0784354,0.6247582,-0.00044841942,-0.006154022,0.004154195,-0.003458762,0.000102404,-0.006661901,0.011334466,0.47769687,-1.4257624,1.9577588,-2.100845,-1.5707325,2.452587,-0.015005818,0.011300334,-0.004864913,-0.0004864407,0.0029477312,-0.026341666,-0.45968673,0.17238252,-9.691729,0.73069996,47.707485,-0.5840002,-2.5982618,-3.3909984,-0.4609971,0.09703562,0.032724187,28.625,29.75,29.0,33.0,35.375,36.5
0.022051789,-1.170472,0.08566796,-0.6585181,0.0013062299,0.06654089,-0.09814424,-0.3810539,-0.34847948,0.05985445,-3.078424,0.62483644,-0.00050327054,-0.0071422644,0.003824618,-0.0033981584,-0.0029226558,-0.007733915,0.0058650393,0.47768402,-1.4257499,1.9577707,-2.100845,-1.5707072,2.4526243,-0.017400479,0.012517919,-0.0063508553,-0.00066729053,0.006124222,-0.023272246,-0.47884035,0.15322891,-9.672575,0.7329411,47.679718,-0.5773442,-2.6638193,-3.4177594,-0.4788078,0.06008573,-0.008567029,28.625,29.75,29.0,33.0,35.375,36.5
0.02405197,-1.3627534,0.32932538,-0.6809026,0.006392443,0.059500355,-0.117793486,-0.3810725,-0.34848228,0.05983477,-3.0784428,0.624746,-0.00050261297,-0.008418385,0.0035608797,-0.003195746,-0.0034430407,-0.006855858,0.0025275457,0.47767177,-1.4256896,1.9577578,-2.1008933,-1.5707072,2.4525533,-0.018148702,0.014191146,-0.008626747,-0.0010834733,0.006178086,-0.020681579,-0.6895301,0.076614454,-9.768343,0.78217715,47.685097,-0.5198621,-2.5485213,-3.4957652,-0.48358893,0.05596964,-0.034580305,28.625,29.75,29.0,33.0,35.375,36.5
0.026051875,-1.535541,0.091144286,-0.70850736,0.007668932,0.06587121,-0.13004966,-0.3810799,-0.34846553,0.059836954,-3.078401,0.6247963,-0.0005614504,-0.010536527,0.0032779288,-0.002193779,-0.004853308,-0.003553508,0.00038039728,0.47763538,-1.4256773,1.9577225,-2.1008217,-1.5707077,2.4525535,-0.01942776,0.014843225,-0.011307592,-0.0026344445,0.0059024617,-0.019811464,-0.8236054,0.05746084,-9.825804,0.7597976,47.70211,-0.5214602,-2.5597367,-3.4860122,-0.48255128,0.07533064,-0.0632733,28.625,29.75,29.0,33.0,35.375,36.5
0.028056351,-1.7279639,0.012407418,-0.8121749,-0.0015936465,0.07791527,-0.141552,-0.3810702,-0.34845567,0.05979967,-3.078385,0.62481266,-0.00073729135,-0.011303482,0.0026120243,-0.0021745607,-0.0055785966,-0.0027157187,0.0006499889,0.47758743,-1.4256167,1.9577335,-2.1007984,-1.5706471,2.4525177,-0.019118346,0.016444737,-0.012939779,-0.0036806217,0.0061536953,-0.019771447,-0.6703765,0.095768064,-9.883265,0.7463667,47.694946,-0.6782055,-2.472825,-3.4102378,-0.46561515,0.06905644,-0.097742885,28.625,29.75,29.0,33.0,35.375,36.5
0.030052511,-1.7457615,0.07883183,-0.7724818,-0.011228199,0.0757353,-0.15577112,-0.3811006,-0.34847295,0.05982781,-3.0784788,0.6248115,-0.0007094219,-0.012159356,0.002610702,-0.0017594033,-0.0064460537,-0.0022750783,0.00036344753,0.477551,-1.4256287,1.9576854,-2.1008098,-1.570587,2.4524686,-0.020274857,0.016776128,-0.014326441,-0.0034160183,0.0067201327,-0.020641431,-0.7086837,0.038307227,-9.921572,0.7418897,47.705692,-0.69627726,-2.5230556,-3.4748476,-0.4763546,0.059608668,-0.09973988,28.625,29.75,29.0,33.0,35.375,36.5
0.032055482,-1.1214569,0.2844192,-0.6665677,-0.015384456,0.08835405,-0.18048698,-0.38115153,-0.348468,0.059830766,-3.0784826,0.6247939,-0.00058917835,-0.013254008,0.003098816,-0.0017142707,-0.006392711,-0.002490953,-0.0005970667,0.47752634,-1.4255805,1.9576372,-2.1008694,-1.5706352,2.4524326,-0.02218736,0.017919082,-0.015874693,-0.0027955219,0.0067708376,-0.021592282,-0.7278373,0.038307227,-10.036493,0.71951014,47.70838,-0.7373961,-2.5225902,-3.3710732,-0.5014949,0.07254495,-0.12692672,28.625,29.75,29.0,33.0,35.375,36.5
0.034052156,-1.3505856,-0.23885067,-0.7669253,0.005131057,0.06960049,-0.1885926,-0.38118544,-0.34845167,0.059815314,-3.078454,0.6248262,-0.0006314848,-0.013985414,0.0034256282,-0.0012631867,-0.007203093,-0.002260228,-0.0011971302,0.47746584,-1.4255087,1.9575881,-2.1008575,-1.5706352,2.452396,-0.023840738,0.017610036,-0.016675541,-0.002264794,0.007382792,-0.022646818,-0.7086837,0.0,-9.864111,0.8023209,47.70211,-0.6686746,-2.40919,-3.4266014,-0.49655154,0.049979642,-0.14418478,28.625,29.75,29.0,33.0,35.375,36.5
0.036051724,-1.3896542,0.3634456,-0.7107152,0.0068607363,0.060254637,-0.20102087,-0.3812044,-0.3484339,0.059809424,-3.078459,0.62490463,-0.00068126124,-0.015281545,0.00343715,-0.00060039805,-0.007900573,-0.00042604344,-0.0011562845,0.47739348,-1.4254966,1.9575876,-2.1008575,-1.5705994,2.4523718,-0.024910444,0.017816903,-0.01830765,-0.002786959,0.007154038,-0.023756033,-0.6512228,-0.076614454,-9.80665,0.7418897,47.67614,-0.7117175,-2.453685,-3.4143019,-0.51606333,0.03973413,-0.17893814,28.625,29.75,29.0,33.0,35.375,36.5
0.038051806,-0.9976794,0.15810664,-0.68604535,0.018931802,0.06307616,-0.22290623,-0.38122556,-0.3484403,0.059812486,-3.078465,0.6248676,-0.0006543547,-0.016677689,0.003711623,-0.0005227296,-0.008130146,0.001042888,-0.0013108306,0.477393,-1.4254603,1.9575394,-2.100858,-1.5706114,2.4523475,-0.026379611,0.018902343,-0.019405724,-0.004183067,0.006677022,-0.0250686,-0.45968673,-0.05746084,-9.787497,0.7642693,47.691364,-0.71111816,-2.4153745,-3.3834023,-0.49267823,0.04917215,-0.18071395,28.625,29.75,29.0,33.0,35.375,36.5
0.040051833,-1.0552086,0.33409402,-0.5488866,0.008172414,0.05795968,-0.21288387,-0.381294,-0.34843263,0.05982977,-3.078523,0.62486,-0.00057723967,-0.018861756,0.0038467855,0.0007413161,-0.009697059,0.004863933,-0.0012955016,0.47730824,-1.4254246,1.9574674,-2.1008947,-1.5705994,2.4522507,-0.028394345,0.018400013,-0.021341847,-0.005856207,0.0063067004,-0.027096227,-0.30645782,-0.019153614,-9.634268,0.78888994,47.703903,-0.66000473,-2.3885803,-3.3954875,-0.48454294,0.0723542,-0.20465106,28.625,29.75,29.0,33.0,35.375,36.5
0.042052038,-1.1548545,0.31616905,-0.5656173,0.0027652262,0.039929513,-0.21667658,-0.3813272,-0.34840918,0.05981452,-3.0784822,0.62494785,-0.00062134245,-0.019382069,0.004348427,0.00029896185,-0.009442581,0.004149625,-0.0011166104,0.47723585,-1.4253643,1.9574307,-2.1008823,-1.5705994,2.4522383,-0.029830296,0.019494006,-0.02154856,-0.005992003,0.0064068395,-0.028711192,-0.21068975,0.0,-9.653421,0.80679786,47.672558,-0.66199946,-2.44474,-3.371377,-0.4761073,0.07474278,-0.23593281,28.625,29.75,29.0,33.0,35.375,36.5
0.044052716,-0.22615707,0.212592,-0.61477613,0.011016412,0.042081103,-0.18902293,-0.38137695,-0.34839666,0.05981786,-3.0785034,0.6248733,-0.00058044604,-0.020257693,0.0045637037,0.00048989564,-0.009822712,0.0042682737,-0.00016928413,0.4771753,-1.4253162,1.9573711,-2.1008947,-1.5706114,2.4521286,-0.031202184,0.020169768,-0.022830304,-0.005666996,0.0066880626,-0.031030117,-0.17238252,0.095768064,-9.557653,0.80456203,47.688675,-0.7067418,-2.3453403,-3.3293383,-0.47533423,0.070175335,-0.23638198,28.625,29.75,29.0,33.0,35.375,36.5
0.046052583,-0.02558083,0.48235235,-0.5100463,0.00038087263,0.02432876,-0.19138004,-0.381433,-0.34839377,0.05982314,-3.0785625,0.6249053,-0.00051621645,-0.021544002,0.005014491,0.0011536672,-0.010477413,0.005058746,0.0005006009,0.47710252,-1.4252803,1.9573344,-2.1009662,-1.570587,2.4520683,-0.03332971,0.020156108,-0.024483105,-0.005002881,0.0069063343,-0.033826757,-0.1340753,0.038307227,-9.500193,0.7777002,47.67345,-0.6635449,-2.2841473,-3.3496215,-0.48639977,0.07150679,-0.24876922,28.625,29.75,29.0,33.0,35.375,36.5
0.04805273,-0.05436472,0.043189418,-0.56863844,0.003223192,0.009115542,-0.18552122,-0.3814485,-0.34836787,0.059820138,-3.0785306,0.6248782,-0.0005879939,-0.023006419,0.0049254997,0.0017676954,-0.011005269,0.006479622,0.002118793,0.47704214,-1.4252559,1.9572972,-2.1008947,-1.570587,2.4519951,-0.03439812,0.021110192,-0.02698555,-0.004957985,0.006714891,-0.03651199,-0.095768064,0.05746084,-9.481039,0.7351769,47.65464,-0.656727,-2.3333669,-3.2369983,-0.47691017,0.07866748,-0.26331574,28.625,29.75,29.0,33.0,35.375,36.5
0.050051734,0.269426,-0.011408084,-0.56880265,-0.0021087187,0.010902531,-0.18590233,-0.38150448,-0.34836295,0.0598228,-3.078567,0.62488544,-0.00051614514,-0.023820125,0.005257947,0.0016103622,-0.011285515,0.006473749,0.0021954947,0.47698164,-1.4252076,1.9572495,-2.1009543,-1.570587,2.4519346,-0.03590005,0.022050101,-0.02759492,-0.005412444,0.0069663525,-0.038090155,0.05746084,0.076614454,-9.615114,0.784413,47.68062,-0.6374557,-2.3092732,-3.3065157,-0.48349726,0.08780354,-0.25046003,28.625,29.75,29.0,33.0,35.375,36.5
