num_insertion, tcp_force_x[N]        , tcp_force_y[N]       , tcp_force_z[N]         , tcp_force_rx[Nm?]      , tcp_force_ry[Nm?]      , tcp_force_rz[Nm?]    , tcp_pose_x[m]      , tcp_pose_y[m]       , tcp_pose_z[m]      , tcp_pose_rx[rot_vec_x], tcp_pose_ry[rot_vec_y], tcp_pose_rz[rot_vec_z] , tcp_velo_x[m/s]        , tcp_velo_y[m/s]        , tcp_velo_z[m/s]        , tcp_velo_rx[rot_vec_x/s], tcp_velo_ry[rot_vec_y/s], tcp_velo_rz[rot_vec_z/s], q1[rad]            , q2[rad]            , q3[rad]           , q4[rad]            , q5[rad]            , q6[rad]           , qd1[rad/s]             , qd2[rad/s]             , qd3[rad/s]            , qd4[rad/s]            , qd5[rad/s]             , qd6[rad/s]             , tool_acc_x           , tool_acc_y           , tool_acc_z         , current_of_whole_robot[A], voltage_of_whole_robot[V], current_J1[A]          , current_J2[A]      , current_J3[A]      , current_J4[A]         , current_J5[A]          , current_J6[A]        , temp_J1[C], temp_J2[C], temp_J3[C], temp_J4[C], temp_J5[C], temp_J6[C]
          1.0, 1.3589786779152564    , 1.3902146643349171   , 0.32887397246589195    , 0.052143950345120066   , -0.08069005762945602   , -0.05959859001470767 , -0.538827181262321 , -0.3244964374859617 , 0.260055882112458  , -3.0787277663541937   , 0.6247773950243459    , 0.00018220905611156487 , 0.0011771949952057148  , -0.0007087679611594973 , 0.001484960150364034   , -0.0017596736950299299  , 0.005405728015885978    , 0.0005819610317470648   , 0.32657361030578613, -1.1519866746715088, 1.6623895804034632, -2.07976832012319  , -1.571357552205221 , 2.3015456199645996, 0.0017206374322995543  , -0.003576915478333831  , 0.002697764663025737  , -0.004804930649697781 , -7.304047176148742e-05 , 0.00113654974848032    , 0.3447650372982025   , -0.17238251864910126 , -9.155426979064941 ,        0.7418897151947021,        47.7244987487793  , -0.22634178400039673   , -4.221457481384277 , -2.4337410926818848, -0.39033958315849304  , 0.02533486671745777    , -0.1556888222694397  ,     24.875,    25.5625,    24.75  ,    27.3125,    28.0625,    28.6875
          1.0, -0.47126355610431153  , -0.1981778544980498  , 0.41311854293153755    , -0.010849790112297189  , -0.02082028467778486   , -0.05734954016748563 , -0.538824843674242 , -0.3244863907863832 , 0.26001069218468065, -3.0786428902760687   , 0.6248363595368402    , 2.700728279512373e-05  , 0.00036068040599140173 , -0.0005022027768676125 , 0.001342823000925651   , -0.0010194918950549412  , 0.003222011798877109    , 0.0007958059921016456   , 0.32656130194664   , -1.1519382458976288, 1.6624134222613733, -2.079719205895895 , -1.571369473134176 , 2.3015809059143066, 0.0009738281951285899  , -0.0019555010367184877 , 2.0336310626589693e-06, -0.0014250125968828797, -7.13851914042607e-05  , 0.0001772478426573798  , -0.07661445438861847 , 0.19153612852096558  , -9.27034854888916  ,        0.7575564384460449,        47.681514739990234, -0.1777830421924591    , -4.336180210113525 , -2.3254613876342773, -0.39982545375823975  , 0.03251417353749275    , -0.14946378767490387 ,     24.875,    25.5625,    24.75  ,    27.3125,    28.0625,    28.6875
          1.0, -2.158029156749479    , -1.9716689228270332  , 0.5887556993605693     , -0.09723508874249744   , 0.09456399662595649    , -0.06384922462556462 , -0.538797603043499 , -0.32448371481991195, 0.26001200272928193, -3.0786208188858812   , 0.6247352279253233    , -4.768862016698644e-05 , 0.001941542210319936   , -2.488095725301035e-05 , -0.0019420230179547835 , 0.0015882119038102926   , -0.004432698670296776   , 0.0008373456824178136   , 0.3265734016895294 , -1.1519857806018372, 1.6624630133258265, -2.0796591244139613, -1.5713813940631312, 2.301532745361328 , 0.0010689734481275082  , -0.0008133632363751531 , 0.005527670495212078  , -6.075053079257486e-06, -6.980336911510676e-05 , 0.00023216773115564138 , -0.38307225704193115 , 0.24899697303771973  , -9.442731857299805 ,        0.7195101380348206,        47.68867492675781 , -0.1741519421339035    , -3.9341652393341064, -2.2454512119293213, -0.49117183685302734  , 0.018082330003380775   , -0.17061518132686615 ,     24.875,    25.5625,    24.75  ,    27.3125,    28.0625,    28.6875
          1.0, -1.1608805981566082   , -0.503945623112432   , 0.806009170817989      , -0.03203369640912718   , 0.04810920676952203    , -0.0658578377175074  , -0.5388048678430385, -0.32448863175037845, 0.2600030302839169 , -3.0786551803914315   , 0.6247623107203143    , -1.714284836922367e-05 , 0.0012825234869149442  , -0.00013933967961368652, -0.002350568234274149  , 0.0004993940406414034   , -0.0014687439776709117  , 0.000791107332195202    , 0.32657331228256226, -1.1519612830928345, 1.6624630133258265, -2.0797201595702113, -1.571357552205221 , 2.3015451431274414, 0.0008882867405191064  , 0.0006868180353194475  , 0.005384101066738367  , -0.00451957993209362  , -5.870608674740652e-07 , 9.601439523976296e-05  , -0.24899697303771973 , 0.17238253355026245  , -9.21288776397705  ,        0.7396538853645325,        47.692256927490234, -0.1716248095035553    , -3.879577398300171 , -2.3134350776672363, -0.573257565498352    , 0.00967535749077797    , -0.17900845408439636 ,     24.875,    25.5625,    24.75  ,    27.3125,    28.0625,    28.6875
          1.0, 0.9576474626848235    , 1.6804692075816217   , 0.8532969031415231     , 0.04755501131020154    , -0.03603722106422087   , -0.06604665081087724 , -0.5388167561446499, -0.3244862694903439 , 0.26000368957785724, -3.078697343572426    , 0.6247699939086295    , 6.075996264535096e-05  , -5.0648541502823566e-05, -0.0009836215792619115 , -0.00024144256074576294, -0.0034724084249713803  , 0.010166755729222866    , 0.0014812934707844965   , 0.32656151056289673, -1.1519494515708466, 1.66246205965151  , -2.0797954998412074, -1.571345631276266 , 2.301532745361328 , 0.001488187932409346   , 0.0004754234687425196  , 0.0031198502983897924 , -0.014338668435811996 , -2.502732687759135e-09 , 1.5104768635865184e-06 , -0.07661445438861847 , 0.07661445438861847  , -9.02135181427002  ,        0.6434228420257568,        47.65016555786133 , -0.24763016402721405   , -3.760213851928711 , -2.045851469039917 , -0.4650225043296814   , 0.02859359420835972    , -0.18812626600265503 ,     24.875,    25.5625,    24.75  ,    27.3125,    28.0625,    28.6875
          1.0, -0.1017210583405749   , 0.6757088454127476   , 0.9405460015190671     , 0.00934327502282915    , -0.024671783592685088  , -0.06416618925887989 , -0.5388094951496477, -0.32450328825563257, 0.2600069079850737 , -3.0786993240883636   , 0.6246931016534268    , 0.00013617967726592016 , 0.0003205309299061473  , -0.0005251860014025324 , -0.0013246018717815798 , -0.0021850837443782817  , 0.006391070751983591    , 0.0009729817683175283   , 0.32659730315208435, -1.1519493025592347, 1.6624625364886683, -2.0798307857909144, -1.5713813940631312, 2.301520347595215 , 0.0009772772900760174  , 0.0009146197116933763  , 0.004462552256882191  , -0.012131455354392529 , -1.0669540771723884e-11, 6.439399680147062e-09  , -0.09576806426048279 , -0.19153612852096558 , -9.078812599182129 ,        0.8179876208305359,        47.685096740722656, -0.2608654499053955    , -3.621905565261841 , -2.013439416885376 , -0.5247691869735718   , 0.018536251038312912   , -0.20289596915245056 ,     24.875,    25.5625,    24.75  ,    27.3125,    28.0625,    28.6875
          1.0, 0.018122060716777882  , 0.7006039916396588   , 1.0050072849433707     , 0.004454168694130263   , 0.00025398441511445807 , -0.07159656967649844 , -0.5388206574887233, -0.32448613459958425, 0.2599960410054732 , -3.0786964169694      , 0.6248093167960684    , 0.00011631625354651442 , 3.585549883631012e-05  , -0.00037664429024721584, -0.0033230288244321324 , -0.0011574820335739041  , 0.0033594300399974616   , 0.0005957370318026061   , 0.32656118273735046, -1.1519362491420289, 1.6624744574176233, -2.0798551044859828, -1.571357552205221 , 2.3015570640563965, 0.0005995982210151851  , 0.003861699253320694   , 0.004936361685395241  , -0.012351279146969318 , -4.548593015370368e-14 , 2.745217247968057e-11  , 0.1149216815829277   , -0.3064578175544739  , -9.078812599182129 ,        0.7888899445533752,        47.692256927490234, -0.2610783576965332    , -3.6856141090393066, -1.9209810495376587, -0.5754307508468628   , 0.004268804099410772   , -0.20132976770401    ,     24.875,    25.5625,    24.75  ,    27.3125,    28.0625,    28.6875
          1.0, 1.1486062534589416    , 1.3927861193909208   , 0.695176198177995      , 0.0458836300809745     , -0.04035994751517742   , -0.06528463610447462 , -0.5388285199105354, -0.3244785305006222 , 0.2599787961599648 , -3.078682904480017    , 0.6248639822722245    , 0.00018395035069832718 , 3.4071694336616346e-05 , -0.0002945749220520017 , -0.002924391048411641  , -0.002364176541126377   , 0.006900471179070748    , 0.00046667504552898027  , 0.3265492022037506 , -1.151912586098053 , 1.662499729787008 , -2.079939981500143 , -1.5713813940631312, 2.3015809059143066, 0.0004722063313238323  , 0.002979980781674385   , 0.006188010796904564  , -0.016462212428450584 , -1.9391366136487073e-16, 1.170329295713951e-13  , 0.24899697303771973  , -0.09576806426048279 , -8.983044624328613 ,        0.6993717551231384,        47.66360092163086 , -0.18012067675590515   , -3.509438991546631 , -1.8670353889465332, -0.5313266515731812   , 0.021962366998195648   , -0.2078545093536377  ,     24.875,    25.5625,    24.75  ,    27.3125,    28.0625,    28.6875
          1.0, 1.2245073463847747    , 0.4969250979665863   , 0.5959224394932133     , 0.003768584202831113   , -0.04539180577969018   , -0.07117205151633861 , -0.5388061767189535, -0.32448771903449103, 0.259927057928657  , -3.0786810826446653   , 0.6247090543605931    , 5.8984915788742856e-05 , 0.0010267838521561148  , 9.732734857211816e-05  , -0.005414311433132805  , -0.0002004773109777559  , 0.0005509273623299976   , 0.00038609142698889495  , 0.3265731632709503 , -1.1518761080554505, 1.6625712553607386, -2.0799628696837367, -1.571369473134176 , 2.3015084266662598, 0.00039026184822432697 , 0.004237988032400608   , 0.009618476964533329  , -0.014442605897784233 , -8.266843558842841e-19 , 4.989297227453319e-16  , 0.19153612852096558  , 0.09576806426048279  , -9.155426979064941 ,        0.7217512726783752,        47.668975830078125, -0.2105623334646225    , -3.4331705570220947, -1.8748688697814941, -0.5536370277404785   , 0.013566596433520317   , -0.21567396819591522 ,     24.875,    25.5625,    24.75  ,    27.3125,    28.0625,    28.6875
          1.0, 0.170174852822805     , -0.3961068922531067  , 0.4521725817464224     , -0.04064214179407234   , -0.009442518912739364  , -0.06482679386880698 , -0.538797506494478 , -0.32450927398888335, 0.2599044653926357 , -3.0786803857925      , 0.6246702379211013    , -9.414518000242065e-07 , 0.0009112895717834856  , 0.00014965159669009175 , -0.006803255340690642  , 0.0011852609336146795   , -0.0031521360864953506  , 0.0011896148258360674   , 0.3266089856624603 , -1.1518394213965912, 1.6625712553607386, -2.0799623928465785, -1.571357552205221 , 2.3015201091766357, 0.000268825504463166   , 0.006354124750941992   , 0.009342622943222523  , -0.012330681085586548 , -0.00012005500320810825, -0.0009236129699274898 , 0.2298433631658554   , 0.15322890877723694  , -9.327810287475586 ,        0.7687462568283081,        47.69584274291992 , -0.2256690412759781    , -3.454819679260254 , -1.8676292896270752, -0.5989240407943726   , 0.013251159340143204   , -0.18621477484703064 ,     24.875,    25.5625,    24.75  ,    27.3125,    28.0625,    28.6875
