timestamp[s],tcp_force_x[N],tcp_force_y[N],tcp_force_z[N],tcp_force_rx[Nm?],tcp_force_ry[Nm?],tcp_force_rz[Nm?],tcp_pose_x[m],tcp_pose_y[m],tcp_pose_z[m],tcp_pose_rx[rot_vec_x],tcp_pose_ry[rot_vec_y],tcp_pose_rz[rot_vec_z],tcp_velo_x[m/s],tcp_velo_y[m/s],tcp_velo_z[m/s],tcp_velo_rx[rot_vec_x/s],tcp_velo_ry[rot_vec_y/s],tcp_velo_rz[rot_vec_z/s],q1[rad],q2[rad],q3[rad],q4[rad],q5[rad],q6[rad],qd1[rad/s],qd2[rad/s],qd3[rad/s],qd4[rad/s],qd5[rad/s],qd6[rad/s],tool_acc_x,tool_acc_y,tool_acc_z,current_of_whole_robot[A],voltage_of_whole_robot[V],current_J1[A],current_J2[A],current_J3[A],current_J4[A],current_J5[A],current_J6[A],temp_J1[C],temp_J2[C],temp_J3[C],temp_J4[C],temp_J5[C],temp_J6[C]
7.2899275e-07,-0.90057725,-1.6204901,-0.4163669,-0.012172015,0.013978581,0.0026207604,-0.3728915,-0.32822117,0.059972018,-3.078507,0.62483287,-0.00018343581,0.0024331657,0.0011246254,-0.0038407743,0.0037583548,-0.008123386,6.9085916e-05,0.44816232,-1.4709209,2.0095732,-2.107691,-1.5706857,2.4230556,-1.1812714e-16,0.004430374,0.0037766118,0.00074219186,0.00014241482,-7.112332e-05,0.13407528,0.21068975,-8.963891,0.6948948,47.692257,-0.2666644,-2.8949528,-2.3885717,-0.50456405,0.14939557,-0.12864806,25.1875,25.75,25.0,27.375,27.9375,28.25
0.002107146,-1.0701829,-1.0378748,-0.32821608,-0.0152488835,0.010435755,0.0033105537,-0.37286615,-0.3282177,0.059930112,-3.078468,0.6248824,-0.00030486812,-0.0014857438,-0.0007698853,-0.0023454174,-0.0019445765,0.0036771374,7.2367286e-05,0.44816232,-1.4708729,2.0096204,-2.1077077,-1.5706614,2.4230914,-1.5848263e-18,0.0044024438,0.0032431937,-0.0118027795,0.00013926662,-7.038269e-05,0.076614454,0.30645782,-8.925584,0.679228,47.677036,-0.2607207,-2.794374,-2.2820015,-0.48010796,0.14802167,-0.14032033,25.1875,25.75,25.0,27.375,27.9375,28.25
0.004097948,-0.7359939,-0.6010538,-0.31410128,-0.016953157,0.020762892,-0.004253057,-0.3728483,-0.32819173,0.059890624,-3.0783856,0.62480825,-0.00037752077,-0.0018183994,-0.00092930347,-0.0022327318,-0.0029306533,0.0057262527,7.149822e-05,0.44816232,-1.4708253,2.0096562,-2.1076963,-1.5707096,2.4230556,-2.126247e-20,0.003731266,0.0043357946,-0.014498231,0.00013625428,-6.9489084e-05,0.0,0.2681506,-9.002198,0.7150385,47.701214,-0.23852704,-3.0472126,-2.505224,-0.37480164,0.14802073,-0.12743776,25.1875,25.75,25.0,27.375,27.9375,28.25
0.006100324,-0.36581153,-0.8648583,-0.40984356,0.006200828,0.017124327,-0.0033647711,-0.37289634,-0.32820004,0.05993482,-3.0784633,0.624901,-0.00021281232,-0.00059609825,-0.0003366447,-0.0018248323,-0.0012992544,0.002366983,6.9152884e-05,0.4481262,-1.4708736,2.009621,-2.1077535,-1.5706977,2.4230676,-2.8526316e-22,0.002363804,0.003558754,-0.008619272,0.00013337006,-6.860703e-05,0.038307227,0.095768064,-8.944737,0.77545905,47.696735,-0.2548008,-2.9751737,-2.524519,-0.39494735,0.14403315,-0.1311768,25.1875,25.75,25.0,27.375,27.9375,28.25
0.008099551,-0.00021058194,0.24107084,-0.7148478,0.028387886,-0.008096552,-0.0003147567,-0.37285537,-0.32822952,0.059900306,-3.0784702,0.6248062,-0.0003629199,-0.0002452722,-0.00016591372,-0.0011886789,-0.0006335756,0.0010012542,6.7896304e-05,0.44818628,-1.4708141,2.0096319,-2.1077406,-1.5706495,2.4230676,-3.8271693e-24,0.0015431879,0.002142882,-0.0048634713,0.00013060495,-6.774633e-05,-0.019153614,0.15322891,-8.944737,0.7284641,47.705692,-0.18489003,-2.9192696,-2.484769,-0.438565,0.16665986,-0.13495083,25.1875,25.75,25.0,27.375,27.9375,28.25
0.010053161,-0.037709527,0.379928,-1.3072416,0.05400493,-0.025603155,0.004345038,-0.37287158,-0.32821822,0.0599085,-3.0784478,0.6249167,-0.00036289787,-6.486265e-05,-8.398444e-05,-0.0009140102,-8.8517685e-05,-0.00015823457,6.697592e-05,0.44815028,-1.4708141,2.0096076,-2.1077163,-1.5706495,2.4231033,-5.1346362e-26,0.0014921268,0.0010054669,-0.0023938757,0.00014501285,-6.690695e-05,-0.038307227,0.019153614,-9.232041,0.68146914,47.65464,-0.46217299,-2.094242,-3.2717876,-0.44574434,0.13647848,-0.15043366,25.1875,25.75,25.0,27.375,27.9375,28.25
0.012052578,-0.40202177,0.0519859,-1.4103628,0.038464736,-0.012133333,-0.0009151675,-0.3728856,-0.3282247,0.059916407,-3.0784616,0.62484276,-0.00027164465,-0.0020223313,-0.0009952846,-0.0034729668,0.0023531595,-0.0052223834,1.6095853e-05,0.4481742,-1.4708099,2.0095928,-2.1077511,-1.5706857,2.4230795,-6.401918e-05,0.013025167,-0.006033263,-0.0012660992,0.0001265193,-7.427095e-05,0.13407528,0.076614454,-9.3661175,0.7329411,47.688675,-0.47094834,-2.3751867,-3.4106119,-0.4365621,0.10429594,-0.15977784,25.1875,25.75,25.0,27.375,27.9375,28.25
0.014051891,-1.1108181,-0.49744853,-1.5425218,0.004425149,0.00038784265,0.0035668411,-0.3728807,-0.32819852,0.059874292,-3.0783842,0.62484765,-0.00039565808,-0.0049819476,-0.0009637815,-0.003969877,0.0027531588,-0.0060731843,-0.002723578,0.4481375,-1.4707361,2.0096028,-2.1077268,-1.5706977,2.4230556,-0.0028193498,0.019339424,-0.011941027,-0.00073248637,0.00012312397,-8.5536776e-05,-0.24899697,0.11492168,-9.404425,0.78217715,47.658226,-0.54007006,-2.7014165,-3.0573728,-0.42736253,0.0852238,-0.16489697,25.1875,25.75,25.0,27.375,27.9375,28.25
0.016051924,-1.7985907,-1.9578105,-1.627392,-0.026926944,0.041361433,0.005454259,-0.37287414,-0.32821858,0.05987455,-3.0784028,0.62487215,-0.00047287834,-0.005166634,8.2538325e-05,-0.004281224,0.003694602,-0.007901254,-0.004685007,0.4481485,-1.4707121,2.0095675,-2.1076906,-1.5706495,2.4230795,-0.0049202926,0.019699942,-0.012030028,0.0010516467,7.0607726e-05,-0.0002253675,-0.32561144,0.30645782,-9.500193,0.73069996,47.68599,-0.309393,-2.5074348,-3.3631644,-0.4367169,0.0769137,-0.18015893,25.1875,25.75,25.0,27.375,27.9375,28.25
0.018051673,-2.3135648,-3.1435373,-1.6449356,-0.055430748,0.07544026,0.0060654813,-0.37287217,-0.32821348,0.059857123,-3.078383,0.62480766,-0.00050850236,-0.0042973827,0.0002048713,-0.0048721107,0.0056864014,-0.011913304,-0.0014068519,0.44814876,-1.4706755,2.009567,-2.1076891,-1.5706614,2.423042,-0.0043261624,0.021447306,-0.013565572,0.0053185024,1.8921104e-05,-0.0029093523,-0.40222588,0.38307226,-9.653421,0.800085,47.687782,-0.3943738,-2.4054456,-3.5647933,-0.44603646,0.07315996,-0.15382904,25.1875,25.75,25.0,27.375,27.9375,28.25
